date,EspaceRichaud_affluence_base100k,train_valid_test
2017-12-27,3039.0198428552403,train
2017-12-28,3390.5979491277135,train
2017-12-29,3049.673724863497,train
2017-12-30,2777.99973365295,train
2017-12-31,1400.9854840857638,train
2018-01-02,2202.690105207085,train
2018-01-03,3459.8481821813825,train
2018-01-04,4362.764682381143,train
2018-01-05,3561.0600612598214,train
2018-01-06,3747.502996404315,train
2018-01-07,3595.685177786656,train
2018-01-10,1084.0324943401251,train
2018-01-11,284.99134372086826,train
2018-01-12,426.15528033027033,train
2018-01-13,2301.23851378346,train
2018-01-14,2706.0860300972167,train
2018-02-14,0.0,train
2018-02-15,0.0,train
2018-02-16,0.0,train
2018-02-17,0.0,train
2018-02-18,0.0,train
2018-02-19,0.0,train
2018-02-20,0.0,train
2018-02-21,0.0,train
2018-02-22,0.0,train
2018-02-23,0.0,train
2018-02-24,0.0,train
2018-02-25,0.0,train
2018-02-26,0.0,train
2018-02-27,0.0,train
2018-02-28,0.0,train
2018-03-01,0.0,train
2018-03-02,189.10640564655748,train
2018-03-03,420.82833932614193,train
2018-03-04,290.31828472499666,train
2018-03-07,162.47170062591556,train
2018-03-08,50.6059395392196,train
2018-03-09,135.83699560527367,train
2018-03-10,322.27993074976695,train
2018-03-11,239.71234518577705,train
2018-03-14,157.1447596217872,train
2018-03-15,93.22146757224664,train
2018-03-16,237.04887468371285,train
2018-03-17,157.1447596217872,train
2018-03-18,335.59728326008786,train
2018-03-21,66.58676255160474,train
2018-03-22,125.18311359701691,train
2018-03-23,175.7890531362365,train
2018-03-24,319.6164602477028,train
2018-03-25,407.51098681582096,train
2018-03-28,66.58676255160474,train
2018-03-29,74.57717405779731,train
2018-03-30,79.9041150619257,train
2018-03-31,277.0009322146757,train
2018-04-01,0.0,train
2018-04-04,109.20229058463177,train
2018-04-05,87.89452656811825,train
2018-04-06,98.54840857637501,train
2018-04-07,247.70275669196963,train
2018-04-08,284.99134372086826,train
2018-04-11,63.92329204954055,train
2018-04-12,31.961646024770275,train
2018-04-13,85.23105606605407,train
2018-04-14,199.7602876548142,train
2018-04-15,266.34705020641894,train
2018-04-18,101.2118790784392,train
2018-04-19,117.19270209082434,train
2018-04-20,346.25116526834466,train
2018-04-21,122.51964309495271,train
2018-04-22,109.20229058463177,train
2018-04-25,53.26941004128379,train
2018-04-26,93.22146757224664,train
2018-04-27,143.82740711146624,train
2018-04-28,135.83699560527367,train
2018-04-29,375.5493407910507,train
2018-05-02,69.25023305366892,train
2018-05-03,79.9041150619257,train
2018-05-04,87.89452656811825,train
2018-05-05,103.87534958050338,train
2018-05-06,151.81781861765882,train
2018-05-09,69.25023305366892,train
2018-05-11,103.87534958050338,train
2018-05-12,231.72193367958448,train
2018-05-13,183.77946464242908,train
2018-05-16,82.56758556398988,train
2018-05-17,34.62511652683446,train
2018-05-18,61.259821547476356,train
2018-05-19,1065.3882008256758,train
2018-05-20,290.31828472499666,train
2018-05-23,58.59635104541217,train
2018-05-24,50.6059395392196,train
2018-05-25,63.92329204954055,train
2018-05-26,207.75069916100676,train
2018-05-27,130.5100546011453,train
2018-09-14,378.21281129311495,train
2018-09-15,1195.8982554268212,train
2018-09-16,1374.3507790651217,train
2018-09-19,130.5100546011453,train
2018-09-20,109.20229058463177,train
2018-09-21,125.18311359701691,train
2018-09-22,599.2808629644427,train
2018-09-23,495.40551338393925,train
2018-09-26,90.55799707018245,train
2018-09-27,71.91370355573312,train
2018-09-28,106.53882008256758,train
2018-09-29,367.55892928485815,train
2018-09-30,431.4822213343987,train
2018-10-03,175.7890531362365,train
2018-10-04,111.86576108669595,train
2018-10-05,69.25023305366892,train
